restaurant_id,name,address,district,city,grade,cuisine,latitude,longitude,telephone,email,website,source,source_file,name_key
RES000397,GRAND BEIJING SEAFOOD CHINESE RESTAURANT,"NO.62 A,DHARMAPALA MAWATHA,COLOMBO 03",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,grand beijing seafood chinese restaurant
RES000398,GRAND LAKE HOTEL,"NO.04, LOYIDS AVENUE,BATTICALOA.",Batticaloa,,B,,,,,,,official_tourism,Restaurants.xlsx,grand lake hotel
RES000399,SRI SIAM AUTHENTIC THAI RESTAURANT,"68,W.A SILVA MAWATHA, WELLAWATTE,COLOMBO 06",Colombo,,B,,,,,,,official_tourism,Restaurants.xlsx,sri siam authentic thai restaurant
RES000400,10 10 KRUA THAI,"NO.446,PANNIPITIYA ROAD, PELAWATTA.",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,10 10 krua thai
RES000401,THE CLUB,"NO.3B2, SHOPPING COMPLEX, GREENS ROAD, NEGOMBO.",Gampaha,,B,,,,,,,official_tourism,Restaurants.xlsx,the club
RES000402,CAFE FRANCAIS BY POURCEL,"NO.48, GROUND FLOOR, PARK STREET, COLOMBO 02.",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,cafe francais by pourcel
RES000403,PEDLARS INN CAFE,"NO.92,PEDLARS STREET,FORT,GALLE.",Galle,,A,,,,,,,official_tourism,Restaurants.xlsx,pedlars inn cafe
RES000404,SILK ROAD CHINESE RESTAURANT,"NO.7A, SIR EARNEST DE SILVA MAWATHA, COLOMBO 07.",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,silk road chinese restaurant
RES000405,CLEMENTS,"NO.21,STATION ROAD,WATTALA.",Gampaha,,A,,,,,,,official_tourism,Restaurants.xlsx,clements
RES000406,RED ORCHIDS,"NO.35,CASTLE LANE,COLOMBO 04",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,red orchids
RES000407,PANACEA RESTAURANT,"NO.179/5,HIGH LEVEL ROAD,PANNIPITIYA",Colombo,,B,,,,,,,official_tourism,Restaurants.xlsx,panacea restaurant
RES000408,MONTE ZITA RESTAURANT,"39A,HORTON PLACE, COLOMBO 07",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,monte zita restaurant
RES000409,SEOUL,"NO.28/1,HORTON PLACE,COLOMBO 07",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,seoul
RES000410,ANARGAYA RESTAURENT,"BATADUWA,BATAPOLA",Galle,,B,,,,,,,official_tourism,Restaurants.xlsx,anargaya restaurent
RES000411,GOLDEN RIVER HOLIDAY RESORT,"GORAKAGAHA JUNCTION,BORALLA ROAD,WENNAPPUWA.",Puttalam,,B,,,,,,,official_tourism,Restaurants.xlsx,golden river holiday resort
RES000412,XIANG YUN CHINESE RESTAURANT,"NO:935,PERADENIYA ROAD,KANDY",Kandy,,A,,,,,,,official_tourism,Restaurants.xlsx,xiang yun chinese restaurant
RES000413,OFF THE HOOK,"NO:180,PARK ROAD,COLOMBO 05",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,off the hook
RES000414,ENJOLA RESTAURANT,"ALUGOLLA ROOD, KATUKENDA, BADALGAMA",Gampaha,,B,,,,,,,official_tourism,Restaurants.xlsx,enjola restaurant
RES000415,DIO JEY RESTAURENT,"NO.145/1A, GIRIDARA, KAPUGODA",Gampaha,,B,,,,,,,official_tourism,Restaurants.xlsx,dio jey restaurent
RES000416,WAAHALKADA RESTAURANT,"NO:322,KANDY ROAD,AMBEPUSSA,WARAKAPOLA",Kegalle,,B,,,,,,,official_tourism,Restaurants.xlsx,waahalkada restaurant
RES000417,MISS SUGAR,"NO:246,LEWIS PLACE,NEGOMBO,SRILANKA",Gampaha,,A,,,,,,,official_tourism,Restaurants.xlsx,miss sugar
RES000418,GARTONS ARK RESTAURANT,"09/47, 06TH LANE, PAGODA ROAD, NUGEGODA.",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,gartons ark restaurant
RES000419,TURF RESTAURANT,"NO. 08, GRAND STAND RACE COURSE, REID AVENUE, COLOMBO 07",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,turf restaurant
RES000420,SHANDONG THE CHINESE KITCHEN,"NO. 1092, SRI JAYAWARDENAPURA MAWATHA, WELIKADA, RAJAGIRIYA",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,shandong the chinese kitchen
RES000421,BERLIN SKY LOUNGE,"NO. 101/11, HUNUPITIYA LAKE ROAD, COLOMBO 02",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,berlin sky lounge
RES000422,THE TUNA AND THE CRAB,"GF 01-OLD DUTCH HOSPITAL,GALEE FORT, GALLE",Galle,,A,,,,,,,official_tourism,Restaurants.xlsx,the tuna and the crab
RES000423,KANDY KITCHEN,"NO 483,WILLIAM GOPALLAWA MAWATHA,KANDY",Kandy,,A,,,,,,,official_tourism,Restaurants.xlsx,kandy kitchen
RES000424,PST RESTAURANT,"NO 48/A, PARK STREET,COLOMBO 02",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,pst restaurant
RES000425,CHAPTER ONE,"931C,KOTTE ROAD,KOTTE",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,chapter one
RES000426,SUDARSHAN RESTAURANT,"NO 08,FRANKFORT PLACE,COLOMBO 04.",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,sudarshan restaurant
RES000427,ROYAL SIGIRIYA RESTAURANT,"POTHANA KIBISSA, SIGIRIYA",Matale,,B,,,,,,,official_tourism,Restaurants.xlsx,royal sigiriya restaurant
RES000428,HERITAGE RESTAURANT,"NO 13O, CENTRAL GARDEN LAND, MADAWALA ULPATHA.",Matale,,A,,,,,,,official_tourism,Restaurants.xlsx,heritage restaurant
RES000429,NALLUR BHAVAN,"250, TEMPLE ROAD, NALLUR, JAFFNA",Jaffna,,B,,,,,,,official_tourism,Restaurants.xlsx,nallur bhavan
RES000430,MATHURA MADRAS WOODLANDS,"16, MELBOURNE AVENUE, COLOMBO 04",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,mathura madras woodlands
RES000431,THE RE-PUB.LK,"57, HOSPITAL STREET, COLOMBO 01.",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,the re pub lk
RES000432,BLUE SAPPHIRE RESTAURANT,"NO:156/158, HAPUTHALE ROAD, WELLAWAYA",Moneragala,,B,,,,,,,official_tourism,Restaurants.xlsx,blue sapphire restaurant
RES000433,SUGAR,"G05, OLD DUTCH HOSPITAL, FORT, GALLE",Galle,,B,,,,,,,official_tourism,Restaurants.xlsx,sugar
RES000434,TONG NI ROAST MEAT RESTAURANT,"NO.59, WALUKARAMA ROAD, COLOMBO 03",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,tong ni roast meat restaurant
RES000435,THE MANHATTAN FISH MARKET,"997/1,SRI JAYAWARDANAPURA ROAD,RAJAGIRIYA.",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,the manhattan fish market
RES000436,BARRACUDA SEA FOOD & GRILL,"41/2AWASALA ROAD,DEHIWALA",Colombo,,B,,,,,,,official_tourism,Restaurants.xlsx,barracuda sea food grill
RES000437,VOC CAFE,"DUTCH BURGHER UNION, NO 114, REID AVENUE, COLOMBO 04",Colombo,,B,,,,,,,official_tourism,Restaurants.xlsx,voc cafe
RES000438,SKY BOLLYWOOD LOUNGE,"NO-9,STATION ROAD,COLOMBO-04",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,sky bollywood lounge
RES000439,LAVINIA RESTAURANT & HOTEL,"NO 43, BEACH ROAD, MT. LAVINIA",Colombo,,B,,,,,,,official_tourism,Restaurants.xlsx,lavinia restaurant hotel
RES000440,LOBBY BISTRO PLATINUM 1,"NO:1, BAGATALLE ROAD, COLOMBO 03",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,lobby bistro platinum 1
RES000441,DOMINANT RAJAGIRIYA,"RECEPTION HALL, WELIKADA, RAJAGIRIYA",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,dominant rajagiriya
RES000442,OSTERIA ROMANA INDURUWA,"MUDIYANSE RALAHAMY'S ESTATE, YALEGAMA, INDURUWA",Galle,,A,,,,,,,official_tourism,Restaurants.xlsx,osteria romana induruwa
RES000443,KUURAKU JAPANESE RESTAURANT,"48B, PARK STREET, COLOMBO02",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,kuuraku japanese restaurant
RES000444,MAKYE AME RESTAURANT,"NO 4 1/1, VAJIRA ROAD, COLOMBO 04",Colombo,,B,,,,,,,official_tourism,Restaurants.xlsx,makye ame restaurant
RES000445,MOMO,"NO.11, NEGOMBO ROAD, WATTALA",Gampaha,,A,,,,,,,official_tourism,Restaurants.xlsx,momo
RES000446,THE REGENT COUNTRY CLUB,"5/1,21ST LANE, ISURUPURA,MALABE",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,the regent country club
RES000447,CANTEN CHINESE RESTAURANT,"NO.21SOMADAVI PL, KIRULAPONE AV COLOMBO 05",Colombo,,B,,,,,,,official_tourism,Restaurants.xlsx,canten chinese restaurant
RES000448,COCKPIT COLOMBO,"NO 7, 07A, 07/1B, FIFE ROAD, COLOMBO 04",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,cockpit colombo
RES000449,CEYLON TEA FACTORY RESTAURANT,"NO 05, WATHTHIRIYAWA WATTA, PASSARA ROAD, ELLA",Badulla,,A,,,,,,,official_tourism,Restaurants.xlsx,ceylon tea factory restaurant
RES000450,HOTEL INDOORA,"PUTTALAM ROAD, THITTAWELLA, KURUNAGALA",Kurunegala,,A,,,,,,,official_tourism,Restaurants.xlsx,hotel indoora
RES000451,DINE INN REATAURANT,"NO 47, W. A SILVA MAWATHA, COLOMBO 06",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,dine inn reataurant
RES000452,THE SIZZLE,"29/1,STATION ROAD,DEHIWALA",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,the sizzle
RES000453,FILL FAMILY RESTAURANT,"NO 83, COLOMBO ROAD, KANDANA",Gampaha,,B,,,,,,,official_tourism,Restaurants.xlsx,fill family restaurant
RES000454,SUSHI BAR SAMURAI,"226 1/1 SRI JAYAWARDANA PURA MW, RAJAGIRIYA",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,sushi bar samurai
RES000455,H.BROTHER'S BROASTED CHICKEN,"NO- 163 DEANS ROAD, COLOMBO-10",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,h brother s broasted chicken
RES000456,GOLDEN SPOON SPICES,"27E, HOSPITAL ROAD, DEHIWELA",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,golden spoon spices
RES000457,FREE TRADE ZONE LIANA,"BOI SPORT COMPLEX,AWERIWATTA,KATUNAYAKE",Gampaha,,B,,,,,,,official_tourism,Restaurants.xlsx,free trade zone liana
RES000458,SILK LOUNGE AND RESTAURANT,"41-,3/1,MAITLAND CRESCENT,COLOMBO 7",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,silk lounge and restaurant
RES000459,LAK LAGUNA RESTAURANT,"78 MAIN ROAD,KALPITIYA,",Puttalam,,B,,,,,,,official_tourism,Restaurants.xlsx,lak laguna restaurant
RES000460,THE EXCHANGE RESTAURANT,"NO. 39/4/1,CANAL RAW,COLOMBO 01.",Colombo,,B,,,,,,,official_tourism,Restaurants.xlsx,the exchange restaurant
RES000461,K.D.K.RESTAURANT,"KOMBAVIL,W.N.4,PUTHUKUDIYUPPU,MULAITIVU",Mullaitivu,,B,,,,,,,official_tourism,Restaurants.xlsx,k d k restaurant
RES000462,FAT PANDA,"31A,SEA AVENUE,COLOMBO 03",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,fat panda
RES000463,BLUE GINGER RESTAURANT,"356,CHILAW ROAD,PERIYAMULLA,NEGOMBO",Gampaha,,A,,,,,,,official_tourism,Restaurants.xlsx,blue ginger restaurant
RES000464,LIKOORI,"NO 25/1/2,STATION ROAD,BAMBALAPITIYA",Colombo,,B,,,,,,,official_tourism,Restaurants.xlsx,likoori
RES000465,GREEN VILLA FAMILY RESTAURANT,"NO 737/7 , THALANGAMA NORTH , MALABE.",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,green villa family restaurant
RES000466,HE PING RESTAURANT,"440,GALLE ROAD,RATHMALANA",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,he ping restaurant
RES000467,MONSOON COLOMBO,"MONSSON COLOMBO,PARK STREET MEWS, PARK STREET,COLOMBO 2",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,monsoon colombo
RES000468,SHAN CITY CHINEESE RESTAURANT,"27/3/1,,KOTUGODELLA VEEDIYA,,KANDY.",Kandy,,B,,,,,,,official_tourism,Restaurants.xlsx,shan city chineese restaurant
RES000469,CHINESE DELIGHT RESTAURANT,"41-A,RIDGEWAY PLACE, MARINE DRIVE,COLOMBO 04",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,chinese delight restaurant
RES000470,SAMEEHA FAMILY RESTAURANT,"NO. 390,CHILAW ROAD, PERIYAMULLA,NEGOMBO",Gampaha,,A,,,,,,,official_tourism,Restaurants.xlsx,sameeha family restaurant
RES000471,SEA PORT RESTAURANT,"70,PORUTHOTA ROAD,ETHUKALA,NEGOMBO",Gampaha,,A,,,,,,,official_tourism,Restaurants.xlsx,sea port restaurant
RES000472,AMUSEUM,"9TH FLOOR, GREEN LANKA BUILDING,NAWAM MAWATHA,COLOMBO 02",Colombo,,A,,,,,,,official_tourism,Restaurants.xlsx,amuseum
