accommodation_id,name,type,address,district,city,grade,rooms,latitude,longitude,telephone,email,website,source,source_file,name_key,all_source_files
ACC001602,SATORI VILLA,Bangalows,"KORATUWA GEDARA, MATARAMBA ROAD, UNAWATUNA, GALLE.",Galle,Akmeemana,DELUXE,4,6.021524,,,,,official_tourism,Information for Accommodation.csv,satori villa,Bungalows.xlsx | Information for Accommodation.csv
ACC001603,SAUNTER PARADISE HOTEL,Tourist Hotels,"TRINCOMALEE ROAD, AWDANGAWA, KIMBISSA, HABARANA",Matale,Dambulla Pradeshiya Sabha,,10,7.992861,,,,,official_tourism,Information for Accommodation.csv,saunter paradise hotel,Information for Accommodation.csv | Tourist Hotels.xlsx
ACC001604,SAVENRA GARDEN RESORT,Rented Homes,"13A, RATHABALAHENA ESTATE, PADUKKA ROAD, GODAGAMA, MEEGODA.",Colombo,Homagama Pradeshiya Sabha,SUPERIOR,5,6.8501663,,,,,official_tourism,Information for Accommodation.csv,savenra garden resort,Information for Accommodation.csv | Rented Homes.xlsx
ACC001605,SAYORISATHURU VILLA.,Bangalows,NO 285/9 SOMAHIMI MAWATHA KOTHALAWALA KADUWELA.,Colombo,Kaduwela Pradeshiya Sabha,STANDARD,4,,,,,,official_tourism,Information for Accommodation.csv,sayorisathuru villa,Bungalows.xlsx | Information for Accommodation.csv
ACC001606,SAYURIMA HOTEL & GUEST HOUSE,Guest Houses,"GOVIYAPANA, AHANGAMA",Galle,Habaraduwa,B,7,5.965326,,,,,official_tourism,Information for Accommodation.csv,sayurima hotel guest house,Guest Houses.xlsx | Information for Accommodation.csv
ACC001607,SCHONE VILLA,Rented Apartments,"HARBOUR ROAD, MIRISSA-SOUTH",Matara,Weligama Pradeshiya Sabha,SUPERIOR,2,,,,,,official_tourism,Information for Accommodation.csv,schone villa,Information for Accommodation.csv | Rented Apartments.xlsx
ACC001608,SCOTTISH PLANTER GLENDEVON BUNGALOW,Bangalows,"RAGALA, HALGRAN OYA",Nuwara Eliya,Nuwara Eliya,DELUXE,4,,,,,,official_tourism,Information for Accommodation.csv,scottish planter glendevon bungalow,Bungalows.xlsx | Information for Accommodation.csv
ACC001609,SEA BREEZE APARTMENT,Rented Apartments,"APARTMENT 4/2, NO.34, EBENEZER PLACE, DEHIWALA.",Colombo,Dehiwala-Mount Lavinia,SUPERIOR,2,,,,,,official_tourism,Information for Accommodation.csv,sea breeze apartment,Information for Accommodation.csv | Rented Apartments.xlsx
ACC001610,SEA BREEZE RESTAURANT & GUEST INN,Guest Houses,"430,BEACH ROAD,SAINTHAMARUTHU",Ampara,Kalmunai,C,7,7.408089,,,,,official_tourism,Information for Accommodation.csv,sea breeze restaurant guest inn,Guest Houses.xlsx | Information for Accommodation.csv
ACC001611,SEA FRONT HOTEL,Home Stay Units,"NO:45,VEVISINGAM SASTHRIYAR ROAD,KALLADY,BATTICALOA",Batticaloa,Batticaloa,STANDARD,2,,,,,,official_tourism,Information for Accommodation.csv,sea front hotel,Home Stay Units.xlsx | Information for Accommodation.csv
ACC001612,SEA GARDEN HOTEL,Tourist Hotels,"ETHUKALA,NEGOMBO",Gampaha,Gampaha,,27,7.265322,,,,,official_tourism,Information for Accommodation.csv,sea garden hotel,Information for Accommodation.csv | Tourist Hotels.xlsx
ACC001613,SEA HORSE APARTMENT,Rented Apartments,"APARTMENT NO. 10/9 (TENTH FLOOR), NO.28, RAMAKRISHNA ROAD, WELLAWATTE, COLOMBO 06",Colombo,Dehiwala-Mount Lavinia,SUPERIOR,2,,,,,,official_tourism,Information for Accommodation.csv,sea horse apartment,Information for Accommodation.csv | Rented Apartments.xlsx
ACC001614,SEA LINE,Guest Houses,"NO.1/108,PETTIGALAWATTA,GALLE",Galle,Galle,B,12,6.036901,,,,,official_tourism,Information for Accommodation.csv,sea line,Guest Houses.xlsx | Information for Accommodation.csv
ACC001615,SEA LION APARTMENT,Rented Apartments,"APARTMENT NO.3/4, (THIRD FLOOR), NO.34, EBENEZER PLACE, DEHIWALA.",Colombo,Dehiwala-Mount Lavinia,SUPERIOR,3,6.830118,,,,,official_tourism,Information for Accommodation.csv,sea lion apartment,Information for Accommodation.csv | Rented Apartments.xlsx
ACC001616,SEA LOTUS PARK HOTEL,Tourist Hotels,"NO.33,ALLESGARDEN,TRINCOMALEE.",Trincomalee,Trincomalee,,25,8.614524,,,,,official_tourism,Information for Accommodation.csv,sea lotus park hotel,Information for Accommodation.csv | Tourist Hotels.xlsx
ACC001617,SEA MOON GARDEN GUEST HOUSE,Guest Houses,"KALMUNAI ROAD, MAIN STREET, KIRANKULAM 06 NORTH, BATTICALOA",Batticaloa,,A,7,7.613703,,,,,official_tourism,Information for Accommodation.csv,sea moon garden guest house,Guest Houses.xlsx | Information for Accommodation.csv
ACC001618,SEA PORT GUEST HOUSE,Guest Houses,"NO.70, ETHUKALA, NEGOMBO",Gampaha,Negombo,A,10,7.240334,,,,,official_tourism,Information for Accommodation.csv,sea port guest house,Guest Houses.xlsx | Information for Accommodation.csv
ACC001619,SEA ROCK,Home Stay Units,"57A,BEACH CROOSE ROAD, P/18.",Ampara,Ampara,STANDARD,2,,,,,,official_tourism,Information for Accommodation.csv,sea rock,Home Stay Units.xlsx | Information for Accommodation.csv
ACC001620,SEA SHELL APARTMENT,Rented Apartments,"APARTMENT NO.5/2 (FIFTH FLOOR), NO.28, RAMAKRISHNA ROAD, WELLAWATTE, COLOMBO 06.",Colombo,Dehiwala-Mount Lavinia,SUPERIOR,2,,,,,,official_tourism,Information for Accommodation.csv,sea shell apartment,Information for Accommodation.csv | Rented Apartments.xlsx
ACC001621,SEA SIDE TERRACE,Guest Houses,"22/2, HOLY CROSS AVENUE, MORATUWA",Colombo,Moratuwa,B,10,6.77857,,,,,official_tourism,Information for Accommodation.csv,sea side terrace,Guest Houses.xlsx | Information for Accommodation.csv
ACC001622,SEA SPRAY BEACH RESORT,Guest Houses,"NO:45,VIHARA LANE,MOUNT LAVINIA",Colombo,Colombo,A,7,,,,,,official_tourism,Information for Accommodation.csv,sea spray beach resort,Guest Houses.xlsx | Information for Accommodation.csv
ACC001623,SEA VIEW APARTMENT RESIDENCIES,Rented Apartments,"BEN TOWER 7/2,28,RAMAKRISHNA ROAD,COLOMBO 06",Colombo,Colombo,DELUXE,2,,,,,,official_tourism,Information for Accommodation.csv,sea view apartment residencies,Information for Accommodation.csv | Rented Apartments.xlsx
ACC001624,SEA VIEW GUEST HOUSE,Guest Houses,"DEVALA ROAD, UNAWATUNA, GALLE",Galle,Habaraduwa,B,12,6.010399,,,,,official_tourism,Information for Accommodation.csv,sea view guest house,Guest Houses.xlsx | Information for Accommodation.csv
ACC001625,SEA VIEW HOTEL & GUEST HOUSE,Guest Houses,"10TH MILE POST, GOPALAPURAM, NILAVALI, TRINKOMALEE",Trincomalee,Trincomalee,A,11,6.688123,,,,,official_tourism,Information for Accommodation.csv,sea view hotel guest house,Guest Houses.xlsx | Information for Accommodation.csv
ACC001626,SEA VIEW HOTELS,Guest Houses,"NO.15, SEA VIEW AVENUE, COLOMBO 03",Colombo,Colombo,A,23,,,,,,official_tourism,Information for Accommodation.csv,sea view hotels,Guest Houses.xlsx | Information for Accommodation.csv
ACC001627,SEELOGAMA HOME STAY,Home Stay Units,"SCHOOL ROAD, SEELOGAMA, BELIHULOYA",Ratnapura,Ratnapura,STANDARD,1,,,,,,official_tourism,Information for Accommodation.csv,seelogama home stay,Home Stay Units.xlsx | Information for Accommodation.csv
ACC001628,SEEROCK THE KINGS DOMAIN,Tourist Hotels,"INDIGASWEWA,KIMBISSA.SIGIRIYA",Matale,Dambulla Pradeshiya Sabha,,12,7.991713,,,,,official_tourism,Information for Accommodation.csv,seerock the kings domain,Information for Accommodation.csv | Tourist Hotels.xlsx
ACC001629,SELFCATE-KANDY,Rented Apartments,"NO. 29/262A, SHANTHI KUMAR RAMASINGHE MAWATHA, AMPITIYA ROAD, KANDY",Kandy,Kandy,SUPERIOR,6,7.28552,,,,,official_tourism,Information for Accommodation.csv,selfcate kandy,Information for Accommodation.csv | Rented Apartments.xlsx
ACC001630,SELSAN HOTEL,Guest Houses,"114/1,RANALA ROAD,HABARAKADA,HOMAGAMA",Colombo,Homagama Pradeshiya Sabha,A,5,,,,,,official_tourism,Information for Accommodation.csv,selsan hotel,Guest Houses.xlsx | Information for Accommodation.csv
ACC001631,SEMILA GREEN GARDEN HOTEL,Guest Houses,"NO 152,KODIKARA WATHTHA,MADATUGAMA",Anuradhapura,Anuradhapura,B,8,,,,,,official_tourism,Information for Accommodation.csv,semila green garden hotel,Guest Houses.xlsx | Information for Accommodation.csv
ACC001632,SEMINI HOLIDAY RESORT,Home Stay Units,"2ND LANE,MATHALE JUNCTION, ANURADHAPURA.",Anuradhapura,Mihintale Pradeshiya Sabha,STANDARD,5,8.3517912,,,,,official_tourism,Information for Accommodation.csv,semini holiday resort,Home Stay Units.xlsx | Information for Accommodation.csv
ACC001633,SENANI COLONIAL HOLIDAY BUNGALOW,Bangalows,"NO.80,LADY MC CALUM DRIVE,HAWAELIYA,NUWARA ELIYA",Nuwara Eliya,Nuwara Eliya,DELUXE,4,6.973548,,,,,official_tourism,Information for Accommodation.csv,senani colonial holiday bungalow,Bungalows.xlsx | Information for Accommodation.csv
ACC001634,SENANI RESTAURANT,Classified Hotels( 1-5 Star),"NO 167, RAJAPIHILLA MAWATHA, KANDY.",Kandy,Kandy,ONE,27,7.285218,,,,,official_tourism,Information for Accommodation.csv,senani restaurant,Classified Hotels( 1-5 Star).xlsx | Information for Accommodation.csv
ACC001635,SENIC SUMMIT GUEST HOUSE,Guest Houses,"102/132A, HEWAHETA ROAD, TALWATTE, KANDY",Kandy,Kandy,A,6,,,,,,official_tourism,Information for Accommodation.csv,senic summit guest house,Guest Houses.xlsx | Information for Accommodation.csv
ACC001636,SENKADA REST,Guest Houses,"NO 108, HEWAHATE ROAD,TALWATTE, KANDY",Kandy,Kandy,B,8,7.28974,,,,,official_tourism,Information for Accommodation.csv,senkada rest,Guest Houses.xlsx | Information for Accommodation.csv
ACC001637,SENMIL HOLIDAY INN,Guest Houses,"NIWASA PEDESA, LAXAPANA",Nuwara Eliya,Ginigathhena,B,7,6.925742,,,,,official_tourism,Information for Accommodation.csv,senmil holiday inn,Guest Houses.xlsx | Information for Accommodation.csv
ACC001638,SENRICH HOTEL,Guest Houses,"NO.46/4C,KALUKODAYAWA,DOMPE ROAD,MALWANA",Gampaha,Gampaha,A,17,,,,,,official_tourism,Information for Accommodation.csv,senrich hotel,Guest Houses.xlsx | Information for Accommodation.csv
ACC001639,SEOUL HOTEL,Guest Houses,"NO.72, ORUTHOTA ROAD, GAMPAHA",Gampaha,Gampaha,B,5,,,,,,official_tourism,Information for Accommodation.csv,seoul hotel,Guest Houses.xlsx | Information for Accommodation.csv
ACC001640,SERENDIPITALY HOTEL,Guest Houses,"37,GALLE ROAD,AKURALA, AMBALANGODA",Galle,Ambalangoda,A,5,6.196545,,,,,official_tourism,Information for Accommodation.csv,serendipitaly hotel,Guest Houses.xlsx | Information for Accommodation.csv
ACC001641,SERENDIPITY HOLIDAY RESORT,Guest Houses,"NO. 73/1 A, KALAVILAWATTA, KALUWAMODARA, ALUTHGAMA",Kalutara,Beruwala Pradeshiya Sabha,B,9,6.447703,,,,,official_tourism,Information for Accommodation.csv,serendipity holiday resort,Guest Houses.xlsx | Information for Accommodation.csv
ACC001642,SERENDIVA,Bangalows,"39,RANTHOTUWILA ROAD,HABURUGALA,BENTOTA.",Galle,Bentota Pradeshiya Sabha,DELUXE,4,,,,,,official_tourism,Information for Accommodation.csv,serendiva,Bungalows.xlsx | Information for Accommodation.csv
ACC001643,SERENE BRIDGE RESORT,Guest Houses,"NO. 182/2, HIGH LEVEL ROAD, WATARAKA, PADUKKA",Colombo,Homagama Pradeshiya Sabha,A,10,6.854048,,,,,official_tourism,Information for Accommodation.csv,serene bridge resort,Guest Houses.xlsx | Information for Accommodation.csv
ACC001644,SERENE GARDEN HOTEL,Classified Hotels( 1-5 Star),"NO. 189, RAJAPIHILLA MAWATHA, KANDY",Kandy,Kandy,ONE,35,7.2848598,,,,,official_tourism,Information for Accommodation.csv,serene garden hotel,Classified Hotels( 1-5 Star).xlsx | Information for Accommodation.csv
ACC001645,SERENE GARDEN,Guest Houses,"173/5, RAJAPIHIALLA MAWATHA, KANDY",Kandy,Kandy,B,12,7.284872,,,,,official_tourism,Information for Accommodation.csv,serene garden,Guest Houses.xlsx | Information for Accommodation.csv
ACC001646,SERENE GRAND HOTEL,Tourist Hotels,"NO.113, RAJAPIHILLA MAWATHA, KANDY",Kandy,Kandy,,21,7.286564,,,,,official_tourism,Information for Accommodation.csv,serene grand hotel,Information for Accommodation.csv | Tourist Hotels.xlsx
ACC001647,SERENE GRAND VILLA,Guest Houses,"NO 38, RAJAPIHILLA MAWATHA, KANDY.",Kandy,Kandy,A,9,7.286576,,,,,official_tourism,Information for Accommodation.csv,serene grand villa,Guest Houses.xlsx | Information for Accommodation.csv
ACC001648,SERENE HOLIDAY BANGALOW,Bangalows,"NO 17A, PIRIS WEDA MAWATHA, KALUWADUMULLA, AMBALANGODA",Galle,Ambalangoda,DELUXE,3,,,,,,official_tourism,Information for Accommodation.csv,serene holiday bangalow,Bungalows.xlsx | Information for Accommodation.csv
ACC001649,SERENE HOME STAY,Home Stay Units,"NO 917, MUDUNMANKADA ROAD, UDAWALAWE",Ratnapura,Embilipitiya,SUPERIOR,2,6.416555,,,,,official_tourism,Information for Accommodation.csv,serene home stay,Home Stay Units.xlsx | Information for Accommodation.csv
ACC001650,SERENE KINGS VILLA,Guest Houses,"NO.17,UDAPUSSELLA ROAD,NUWARAELIYA.",Nuwara Eliya,Nuwara Eliya,A,9,6.966501,,,,,official_tourism,Information for Accommodation.csv,serene kings villa,Guest Houses.xlsx | Information for Accommodation.csv
ACC001651,SERENE PAVILIONS,Tourist Hotels,"NO20,UPALI MAWATHA,WADDUWA",Kalutara,Kalutara Pradeshiya Sabha,,15,6.671541,,,,,official_tourism,Information for Accommodation.csv,serene pavilions,Information for Accommodation.csv | Tourist Hotels.xlsx
ACC001652,SERENE RESIDENCE,Home Stay Units,"NO. 60, SRI DHARMARAMA ROAD, KATUKURUNDA, KALUTARA SOUTH",Kalutara,Kalutara Pradeshiya Sabha,STANDARD,3,6.565803,,,,,official_tourism,Information for Accommodation.csv,serene residence,Home Stay Units.xlsx | Information for Accommodation.csv
ACC001653,SERENE SK HOME,Home Stay Units,"48, JAYA ROAD, UDAHAMULLA, NUGEGODA",Colombo,Maharagama,SUPERIOR,3,6.8634233,,,,,official_tourism,Information for Accommodation.csv,serene sk home,Home Stay Units.xlsx | Information for Accommodation.csv
ACC001654,SERENE VILLA,Guest Houses,"NO.395, KANDY ROAD,NUWARA-ELIYA.",Nuwara Eliya,Nuwara Eliya,A,9,,,,,,official_tourism,Information for Accommodation.csv,serene villa,Guest Houses.xlsx | Information for Accommodation.csv
ACC001655,SERENE VILLA,Bangalows,"245/55 BATUGEDARA MAIN ROAD,RATNAPURA",Ratnapura,Ratnapura,SUPERIOR,4,6.675483,,,,,official_tourism,Information for Accommodation.csv,serene villa,Bungalows.xlsx | Information for Accommodation.csv
ACC001656,SERENITY HOMESTAY,Home Stay Units,"WATERFALL ROAD,WATAGODAWATTA,KITHAL-ELLA,ELLA",Badulla,Ella Pradeshiya Sabha,STANDARD,2,6.86814,,,,,official_tourism,Information for Accommodation.csv,serenity homestay,Home Stay Units.xlsx | Information for Accommodation.csv
ACC001657,SERENITY LAKE FRONT VILLA,Bangalows,"90/15(90/13A), BILYMORIA MAWATHA, IHALA INDEBEDDA, MORATUWA",Colombo,Moratuwa,DELUXE,4,6.77621,,,,,official_tourism,Information for Accommodation.csv,serenity lake front villa,Bungalows.xlsx | Information for Accommodation.csv
ACC001658,SERENITY VILLA,Bangalows,"NO.14/2,AMARASENA MAWATHA,HIKKADUWA",Galle,Hikkaduwa,STANDARD,3,6.139843,,,,,official_tourism,Information for Accommodation.csv,serenity villa,Bungalows.xlsx | Information for Accommodation.csv
ACC001659,SERGEANT HOUSE,Guest Houses,"NO:381,MATARA ROAD,GANAHENA,UNAWATUNA,GALLE",Galle,Galle,A,5,6.006796,,,,,official_tourism,Information for Accommodation.csv,sergeant house,Guest Houses.xlsx | Information for Accommodation.csv
ACC001660,SETHRA,Home Stay Units,"NO 65, ROUND ROAD, OBADAWATTA, BENTOTA",Galle,Bentota Pradeshiya Sabha,DELUXE,3,,,,,,official_tourism,Information for Accommodation.csv,sethra,Home Stay Units.xlsx | Information for Accommodation.csv
ACC001661,SEVANA CITY HOTEL,Guest Houses,"NO 84,PERADENIYA ROAD,KANDY",Kandy,Kandy,A,15,7.291993,,,,,official_tourism,Information for Accommodation.csv,sevana city hotel,Guest Houses.xlsx | Information for Accommodation.csv
ACC001662,SEVEN ELEVEN HOTEL AND RESTAURANT,Guest Houses,"154/1,,MININDU MAWATHA,,KESBEWA",Colombo,Kesbewa,A,14,6.797702,,,,,official_tourism,Information for Accommodation.csv,seven eleven hotel and restaurant,Guest Houses.xlsx | Information for Accommodation.csv
