place_id,name,name_key,category,subcategory,district,city,province,latitude,longitude,opening_hours,source,source_file,all_sources,all_source_files
PLC0014612,Sasvi Cabana,sasvi cabana,accommodation,guest_house,Trincomalee,Trincomalee,Eastern,8.6138103,81.2164134,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014613,Saswin bake house,saswin bake house,shopping,bakery,Trincomalee,,Eastern,8.586137,81.2164205,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014614,Satham Food City,satham food city,shopping,gift,Batticaloa,,Eastern,7.9258694,81.5296559,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014615,Sathara Toy Shop,sathara toy shop,shopping,toys,Colombo,Maharagama,Western,6.8448808,79.9302237,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014616,Satharaka Book Shop,satharaka book shop,shopping,stationery,Colombo,,Western,6.9020444,79.919783,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014617,Sathees Store,sathees store,shopping,convenience,Colombo,,Western,6.9549005,80.2068641,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014618,SATHMALA ELLA,sathmala ella,accommodation,Guest Houses,Matara,Matara,,,,,official_tourism,Guest Houses.xlsx | Information for Accommodation.csv,official_tourism,Guest Houses.xlsx | Information for Accommodation.csv
PLC0014619,Sathosa Athurugiriya,sathosa athurugiriya,shopping,supermarket,Colombo,Athurugiriya,Western,6.8775789,79.9890108,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014620,Sathosa Battaramulla,sathosa battaramulla,shopping,convenience,Colombo,Battaramulla,Western,6.9035381,79.9213359,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014621,Sathosa Food Center,sathosa food center,shopping,supermarket,Galle,Hikkaduwa,Southern,6.108102150000001,80.12548307581542,Mo-Su 08:00-20:00,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014622,Sathosa Ganemulla,sathosa ganemulla,shopping,supermarket,Gampaha,,Western,7.067081099999999,79.9601047954919,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014623,Sathosa kegalle,sathosa kegalle,shopping,convenience,Kegalle,Kegalle,Sabaragamuwa,7.25162245,80.3382261035745,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014624,Sathosa minneriya,sathosa minneriya,shopping,supermarket,Polonnaruwa,,North Central,8.03976675,80.90550283016165,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014625,Sathosa - Mollipothana,sathosa mollipothana,shopping,supermarket,Trincomalee,,Eastern,8.4441624,81.0547858,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014626,Sathosa Motors,sathosa motors,shopping,car_parts,Colombo,Panchikawatte,Western,6.9303103,79.8651543,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014627,Sathosa Narammala NWP,sathosa narammala nwp,shopping,supermarket,Kurunegala,,North Western,7.4324431,80.2154194,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
